filename;predictions;Igual;;;
66a6;66a6;1;;63;Total
66ax;66ax;1;;15;Corretos
66hh;66hh;1;;;
66hn;66hn;1;;24%;Acurácia
67bm;67db;0;;;
6acd;cacb;0;;;
6b7n;6d7m;0;;;
6bdc;6bbc;0;;;
6bnh;xdnh;0;;;
6bxn;6bxn;1;;;
6cbb;6cmb;0;;;
6cdh;66dh;0;;;
6cmx;bcmx;0;;;
6cn7;66m7;0;;;
6d67;6m67;0;;;
6d67(1);cb67;0;;;
6d7x;6b76;0;;;
6dbb;cdbd;0;;;
6ddm;6bdm;0;;;
6dhc;6bhc;0;;;
6dmn;6d6m;0;;;
6dxh;7dxh;0;;;
6hn7;6hnx;0;;;
6m7m;7d7n;0;;;
6mcn;6mch;0;;;
6mdh;6mch;0;;;
6mh6;6mh6;1;;;
6n77;6n77;1;;;
6nc7;6nc7;1;;;
6nxd;6nxc;0;;;
6x7d;6x7b;0;;;
6xc7;xx67;0;;;
6xnc;6xmc;0;;;
6xnm;6xxm;0;;;
766n;m66m;0;;;
767c;7d77;0;;;
76a7;66a7;0;;;
77hh;77hh;1;;;
7a6h;7a6h;1;;;
7adc;7adb;0;;;
7b6n;7b6m;0;;;
7bah;7bah;1;;;
7bh6;7bhx;0;;;
7bhd;7bh7;0;;;
7bnm;7bmm;0;;;
7c7d;7c7x;0;;;
7cad;7mad;0;;;
7ccm;7ccm;1;;;
7cn7;7cn7;1;;;
7d7m;7b7n;0;;;
7dmx;7dnx;0;;;
7dmx(1);6bd6;0;;;
7h7c;7h7c;1;;;
7hnd;7hnb;0;;;
7mhc;76hd;0;;;
7mnm;7dmm;0;;;
7mxn;766d;0;;;
7n66;7n66;1;;;
7na7;7ma7;0;;;
7nb6;7mb6;0;;;
7nhd;7nhb;0;;;
7xhn;76hn;0;;;
7xnh;7xmh;0;;;
